country,fruit_dietary_intake,vegetables_dietary_intake,legumes_dietary_intake,nuts_dietary_intake,whole_grains_dietary_intake,fish_dietary_intake,dairy_dietary_intake,red_meat_dietary_intake,salt_legislation_policy,sugar_tax_policy,sodium_policy,gdp_per_capita_mean_2011_2021,obesity_mean_2011_2016,overweight_mean_2011_2016,underweight_mean_2011_2016,blood_pressure_mean_2011_2015,Risk_factor_obese_2018
Sweden,115.0,150.8,15.3,5.1,25.0,35.1,609.9,70.7,No,No,Yes,51194.07,19.53,55.3,1.38,20.35,2151.5
Eswatini,92.7,167.0,11.0,6.9,0.1,2.0,70.3,19.1,Yes,No,No,8464.76,14.75,35.98,7.85,29.49,194.33
Seychelles,108.5,215.5,19.6,9.4,38.6,174.7,87.5,18.5,No,Yes,No,25517.21,13.02,35.31,6.85,23.66,14.67
Syrian Arab Republic,101.6,129.7,37.9,19.5,14.2,32.6,388.9,37.5,No,No,No,,26.14,59.61,2.8,25.03,3932.0
Chad,42.4,36.7,7.4,9.2,58.5,25.0,37.8,32.2,Yes,Yes,No,1680.12,5.38,21.64,13.77,32.58,323.0
Togo,54.8,148.5,13.7,9.3,61.7,53.9,23.4,13.4,Yes,Yes,No,1949.85,7.37,26.2,10.24,29.0,368.33
Thailand,97.2,175.6,41.9,1.3,18.1,45.8,92.6,35.0,Yes,Yes,Yes,16657.62,8.55,29.92,9.4,22.35,5102.67
Tajikistan,90.7,53.8,58.2,5.1,46.4,6.6,188.2,51.5,Yes,No,Yes,2962.67,12.88,43.48,4.1,25.82,1250.67
Turkmenistan,68.6,107.1,32.8,0.8,112.9,11.9,693.6,92.0,Yes,No,Yes,15564.02,16.99,49.92,3.1,25.49,1081.0
Timor-Leste,52.0,140.8,8.7,1.6,19.0,25.5,68.2,19.0,No,No,Yes,3189.15,3.24,19.9,17.01,27.47,35.67
Tonga,130.4,139.4,39.2,3.3,11.9,50.6,106.8,30.7,No,Yes,No,5470.4,46.23,77.29,0.32,23.23,46.0
Trinidad and Tobago,68.5,86.5,37.6,9.5,28.0,25.3,204.6,72.8,No,No,No,27079.0,16.98,43.98,4.15,25.36,495.5
Tunisia,64.0,198.0,15.2,6.5,1.5,38.3,279.1,41.7,Yes,Yes,Yes,10208.93,25.22,59.9,3.4,23.79,2798.33
Turkey,79.8,112.9,31.3,11.1,2.6,6.2,660.3,45.0,Yes,No,Yes,26480.86,30.11,65.12,1.54,21.08,21437.83
Tuvalu,,,,,,,,,No,No,No,3964.63,49.77,80.65,0.42,23.84,
United Republic of Tanzania,65.8,169.3,33.9,16.4,135.4,26.6,54.0,27.1,Yes,Yes,No,2449.36,7.39,25.85,11.58,27.08,1895.0
Uganda,55.6,110.7,45.2,7.7,27.3,11.6,65.6,10.9,Yes,Yes,No,2347.14,4.63,21.04,11.7,26.82,651.17
Ukraine,94.1,183.4,8.9,12.8,67.0,31.6,539.7,39.0,No,No,No,12341.19,22.92,57.44,1.51,27.86,32735.0
Uruguay,97.0,162.7,45.0,25.5,37.9,23.9,318.1,79.9,Yes,Yes,Yes,21781.44,26.53,61.57,1.13,21.77,1150.0
United States of America,86.8,128.6,19.5,11.5,19.6,11.2,513.0,35.7,No,No,Yes,58978.44,34.57,66.68,1.31,13.17,114686.17
Uzbekistan,83.6,214.7,33.4,3.2,52.4,47.4,589.0,107.0,Yes,No,Yes,6588.91,15.07,46.38,3.4,25.4,7551.17
Saint Vincent and the Grenadines,143.5,104.3,46.3,6.2,20.0,31.9,257.5,49.0,No,Yes,Yes,11871.03,22.2,53.13,3.87,23.61,38.83
Venezuela (Bolivarian Republic of),108.1,91.0,39.5,0.8,28.0,11.1,325.1,57.8,Yes,No,No,13592.55,24.55,62.35,1.51,19.37,3478.33
Viet Nam,82.6,177.1,99.5,21.1,26.3,61.1,68.1,51.8,Yes,No,Yes,8654.12,1.75,16.57,18.83,23.19,1866.17
Vanuatu,41.3,71.4,67.3,3.9,24.3,41.3,88.1,43.7,No,Yes,No,2631.22,23.53,55.31,2.06,23.96,86.0
Samoa,140.3,336.4,231.1,26.1,10.6,44.4,176.8,27.4,No,Yes,Yes,5368.8,45.86,76.66,0.33,23.51,97.5
Yemen,39.3,58.5,28.9,3.4,20.3,10.8,200.1,22.9,Yes,No,No,2599.94,15.43,46.52,7.15,30.54,4299.67
South Africa,32.7,131.8,32.3,0.2,68.6,5.0,133.9,148.6,Yes,Yes,Yes,13697.11,26.04,51.23,5.13,27.25,13383.33
Zambia,51.2,195.8,20.6,19.7,55.7,43.9,42.5,41.2,Yes,Yes,No,3309.54,7.22,26.26,11.7,27.2,656.5
Zimbabwe,83.4,141.2,18.9,3.1,152.4,18.6,97.8,27.1,Yes,No,No,2291.12,14.21,36.36,8.31,28.17,1804.67
Bolivia,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,
"Korea, North",,,,,,,,,,,,,,,,,
"Korea, South",,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,
Taiwan*,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,
